chousonLabel,code,gunLabel
当別町,013030,石狩郡
新篠津村,013048,石狩郡
松前町,013315,松前郡
福島町,013323,松前郡
知内町,013331,上磯郡
木古内町,013340,上磯郡
七飯町,013374,亀田郡
鹿部町,013439,茅部郡
森町,013455,茅部郡
八雲町,013463,二海郡
長万部町,013471,山越郡
江差町,013617,檜山郡
上ノ国町,013625,檜山郡
厚沢部町,013633,檜山郡
乙部町,013641,爾志郡
奥尻町,013676,奥尻郡
せたな町,013714,久遠郡
島牧村,013919,島牧郡
寿都町,013927,寿都郡
黒松内町,013935,寿都郡
蘭越町,013943,磯谷郡
ニセコ町,013951,虻田郡
真狩村,013960,虻田郡
留寿都村,013978,虻田郡
喜茂別町,013986,虻田郡
京極町,013994,虻田郡
倶知安町,014001,虻田郡
共和町,014010,岩内郡
岩内町,014028,岩内郡
泊村,014036,古宇郡
神恵内村,014044,古宇郡
積丹町,014052,積丹郡
古平町,014061,古平郡
仁木町,014079,余市郡
余市町,014087,余市郡
赤井川村,014095,余市郡
南幌町,014231,空知郡
奈井江町,014249,空知郡
上砂川町,014257,空知郡
由仁町,014273,夕張郡
長沼町,014281,夕張郡
栗山町,014290,夕張郡
月形町,014303,樺戸郡
浦臼町,014311,樺戸郡
新十津川町,014320,樺戸郡
妹背牛町,014338,雨竜郡
秩父別町,014346,雨竜郡
雨竜町,014362,雨竜郡
沼田町,014389,雨竜郡
鷹栖町,014524,上川郡
東神楽町,014532,上川郡
当麻町,014541,上川郡
比布町,014559,上川郡
愛別町,014567,上川郡
上川町,014575,上川郡
東川町,014583,上川郡
美瑛町,014591,上川郡
上富良野町,014605,空知郡
中富良野町,014613,空知郡
南富良野町,014621,空知郡
占冠村,014630,勇払郡
和寒町,014648,上川郡
剣淵町,014656,上川郡
下川町,014681,上川郡
幌加内町,014729,雨竜郡
増毛町,014818,増毛郡
小平町,014826,留萌郡
苫前町,014834,苫前郡
羽幌町,014842,苫前郡
初山別村,014851,苫前郡
遠別町,014869,天塩郡
天塩町,014877,天塩郡
猿払村,015113,宗谷郡
浜頓別町,015121,枝幸郡
中頓別町,015130,枝幸郡
枝幸町,015148,枝幸郡
豊富町,015164,天塩郡
礼文町,015172,礼文郡
利尻町,015181,利尻郡
利尻富士町,015199,利尻郡
幌延町,015202,天塩郡
美幌町,015431,網走郡
津別町,015440,網走郡
斜里町,015458,斜里郡
清里町,015466,斜里郡
小清水町,015474,斜里郡
訓子府町,015491,常呂郡
置戸町,015504,常呂郡
佐呂間町,015521,常呂郡
遠軽町,015555,紋別郡
湧別町,015598,紋別郡
滝上町,015601,紋別郡
興部町,015610,紋別郡
西興部村,015628,紋別郡
雄武町,015636,紋別郡
大空町,015644,網走郡
豊浦町,015717,虻田郡
壮瞥町,015750,有珠郡
白老町,015784,白老郡
厚真町,015814,勇払郡
洞爺湖町,015849,虻田郡
安平町,015857,勇払郡
むかわ町,015865,勇払郡
日高町,016012,沙流郡
平取町,016021,沙流郡
新冠町,016047,新冠郡
浦河町,016071,浦河郡
様似町,016080,様似郡
えりも町,016098,幌泉郡
新ひだか町,016101,日高郡
音更町,016314,河東郡
士幌町,016322,河東郡
上士幌町,016331,河東郡
鹿追町,016349,河東郡
新得町,016357,上川郡
清水町,016365,上川郡
芽室町,016373,河西郡
中札内村,016381,河西郡
更別村,016390,河西郡
大樹町,016411,広尾郡
広尾町,016420,広尾郡
幕別町,016438,中川郡
池田町,016446,中川郡
豊頃町,016454,中川郡
本別町,016462,中川郡
足寄町,016471,足寄郡
陸別町,016489,足寄郡
浦幌町,016497,十勝郡
釧路町,016616,釧路郡
厚岸町,016624,厚岸郡
浜中町,016632,厚岸郡
標茶町,016641,川上郡
弟子屈町,016659,川上郡
鶴居村,016675,阿寒郡
白糠町,016683,白糠郡
別海町,016918,野付郡
中標津町,016926,標津郡
標津町,016934,標津郡
羅臼町,016942,目梨郡
色丹村,016951,色丹郡
泊村,016969,国後郡
留夜別村,016977,国後郡
留別村,016985,択捉郡
紗那村,016993,紗那郡
蘂取村,017001,蘂取郡
平内町,023019,東津軽郡
今別町,023035,東津軽郡
蓬田村,023043,東津軽郡
外ヶ浜町,023078,東津軽郡
鰺ヶ沢町,023213,西津軽郡
深浦町,023230,西津軽郡
西目屋村,023434,中津軽郡
藤崎町,023612,南津軽郡
大鰐町,023621,南津軽郡
田舎館村,023671,南津軽郡
板柳町,023817,北津軽郡
鶴田町,023841,北津軽郡
中泊町,023876,北津軽郡
野辺地町,024015,上北郡
七戸町,024023,上北郡
六戸町,024058,上北郡
横浜町,024066,上北郡
東北町,024082,上北郡
六ヶ所村,024112,上北郡
おいらせ町,024121,上北郡
三戸町,024414,三戸郡
五戸町,024422,三戸郡
田子町,024431,三戸郡
南部町,024457,三戸郡
階上町,024465,三戸郡
新郷村,024503,三戸郡
雫石町,033014,岩手郡
葛巻町,033022,岩手郡
岩手町,033031,岩手郡
紫波町,033219,紫波郡
矢巾町,033227,紫波郡
西和賀町,033669,和賀郡
金ケ崎町,033812,胆沢郡
平泉町,034029,西磐井郡
住田町,034410,気仙郡
大槌町,034614,上閉伊郡
山田町,034827,下閉伊郡
岩泉町,034835,下閉伊郡
田野畑村,034843,下閉伊郡
普代村,034851,下閉伊郡
軽米町,035017,九戸郡
野田村,035033,九戸郡
九戸村,035068,九戸郡
洋野町,035076,九戸郡
一戸町,035246,二戸郡
蔵王町,043010,刈田郡
七ヶ宿町,043028,刈田郡
大河原町,043214,柴田郡
村田町,043222,柴田郡
柴田町,043231,柴田郡
川崎町,043249,柴田郡
丸森町,043419,伊具郡
亘理町,043613,亘理郡
山元町,043621,亘理郡
松島町,044016,宮城郡
七ヶ浜町,044041,宮城郡
利府町,044067,宮城郡
大和町,044211,黒川郡
大郷町,044229,黒川郡
大衡村,044245,黒川郡
色麻町,044440,加美郡
加美町,044458,加美郡
涌谷町,045012,遠田郡
美里町,045055,遠田郡
女川町,045811,牡鹿郡
南三陸町,046060,本吉郡
小坂町,053031,鹿角郡
上小阿仁村,053279,北秋田郡
藤里町,053465,山本郡
三種町,053481,山本郡
八峰町,053490,山本郡
五城目町,053619,南秋田郡
八郎潟町,053635,南秋田郡
井川町,053660,南秋田郡
大潟村,053686,南秋田郡
美郷町,054348,仙北郡
羽後町,054631,雄勝郡
東成瀬村,054640,雄勝郡
山辺町,063011,東村山郡
中山町,063029,東村山郡
河北町,063215,西村山郡
西川町,063223,西村山郡
朝日町,063231,西村山郡
大江町,063240,西村山郡
大石田町,063410,北村山郡
金山町,063614,最上郡
最上町,063622,最上郡
舟形町,063631,最上郡
真室川町,063649,最上郡
大蔵村,063657,最上郡
鮭川村,063665,最上郡
戸沢村,063673,最上郡
高畠町,063819,東置賜郡
川西町,063827,東置賜郡
小国町,064017,西置賜郡
白鷹町,064025,西置賜郡
飯豊町,064033,西置賜郡
三川町,064262,東田川郡
庄内町,064289,東田川郡
遊佐町,064611,飽海郡
桑折町,073016,伊達郡
国見町,073032,伊達郡
川俣町,073083,伊達郡
大玉村,073229,安達郡
鏡石町,073423,岩瀬郡
天栄村,073440,岩瀬郡
下郷町,073628,南会津郡
檜枝岐村,073644,南会津郡
只見町,073679,南会津郡
南会津町,073687,南会津郡
北塩原村,074021,耶麻郡
西会津町,074055,耶麻郡
磐梯町,074071,耶麻郡
猪苗代町,074080,耶麻郡
会津坂下町,074217,河沼郡
湯川村,074225,河沼郡
柳津町,074233,河沼郡
三島町,074446,大沼郡
金山町,074454,大沼郡
昭和村,074462,大沼郡
会津美里町,074471,大沼郡
西郷村,074616,西白河郡
泉崎村,074641,西白河郡
中島村,074659,西白河郡
矢吹町,074667,西白河郡
棚倉町,074811,東白川郡
矢祭町,074829,東白川郡
塙町,074837,東白川郡
鮫川村,074845,東白川郡
石川町,075019,石川郡
玉川村,075027,石川郡
平田村,075035,石川郡
浅川町,075043,石川郡
古殿町,075051,石川郡
三春町,075213,田村郡
小野町,075221,田村郡
広野町,075418,双葉郡
楢葉町,075426,双葉郡
富岡町,075434,双葉郡
川内村,075442,双葉郡
大熊町,075451,双葉郡
双葉町,075469,双葉郡
浪江町,075477,双葉郡
葛尾村,075485,双葉郡
新地町,075612,相馬郡
飯舘村,075647,相馬郡
茨城町,083020,東茨城郡
大洗町,083097,東茨城郡
城里町,083101,東茨城郡
東海村,083411,那珂郡
大子町,083640,久慈郡
美浦村,084425,稲敷郡
阿見町,084433,稲敷郡
河内町,084476,稲敷郡
八千代町,085219,結城郡
五霞町,085421,猿島郡
境町,085464,猿島郡
利根町,085642,北相馬郡
上三川町,093017,河内郡
益子町,093424,芳賀郡
茂木町,093432,芳賀郡
市貝町,093441,芳賀郡
芳賀町,093459,芳賀郡
壬生町,093611,下都賀郡
野木町,093645,下都賀郡
塩谷町,093840,塩谷郡
高根沢町,093866,塩谷郡
那須町,094072,那須郡
那珂川町,094111,那須郡
榛東村,103446,北群馬郡
吉岡町,103454,北群馬郡
上野村,103667,多野郡
神流町,103675,多野郡
下仁田町,103829,甘楽郡
南牧村,103837,甘楽郡
甘楽町,103845,甘楽郡
中之条町,104213,吾妻郡
長野原町,104248,吾妻郡
嬬恋村,104256,吾妻郡
草津町,104264,吾妻郡
高山村,104281,吾妻郡
東吾妻町,104299,吾妻郡
玉村町,104647,佐波郡
板倉町,105210,邑楽郡
明和町,105228,邑楽郡
千代田町,105236,邑楽郡
大泉町,105244,邑楽郡
邑楽町,105252,邑楽郡
伊奈町,113018,北足立郡
三芳町,113247,入間郡
毛呂山町,113263,入間郡
越生町,113271,入間郡
滑川町,113417,比企郡
嵐山町,113425,比企郡
小川町,113433,比企郡
川島町,113468,比企郡
吉見町,113476,比企郡
鳩山町,113484,比企郡
ときがわ町,113492,比企郡
横瀬町,113611,秩父郡
皆野町,113620,秩父郡
長瀞町,113638,秩父郡
小鹿野町,113654,秩父郡
東秩父村,113697,秩父郡
美里町,113816,児玉郡
神川町,113832,児玉郡
上里町,113859,児玉郡
寄居町,114081,大里郡
宮代町,114421,南埼玉郡
杉戸町,114642,北葛飾郡
松伏町,114651,北葛飾郡
酒々井町,123226,印旛郡
栄町,123293,印旛郡
神崎町,123421,香取郡
多古町,123471,香取郡
東庄町,123498,香取郡
九十九里町,124036,山武郡
芝山町,124095,山武郡
横芝光町,124109,山武郡
一宮町,124214,長生郡
睦沢町,124222,長生郡
長生村,124231,長生郡
白子町,124249,長生郡
長柄町,124265,長生郡
長南町,124273,長生郡
大多喜町,124419,夷隅郡
御宿町,124435,夷隅郡
鋸南町,124630,安房郡
瑞穂町,133035,西多摩郡
日の出町,133051,西多摩郡
檜原村,133078,西多摩郡
奥多摩町,133086,西多摩郡
葉山町,143014,三浦郡
寒川町,143219,高座郡
大磯町,143413,中郡
二宮町,143421,中郡
中井町,143618,足柄上郡
大井町,143626,足柄上郡
松田町,143634,足柄上郡
山北町,143642,足柄上郡
開成町,143669,足柄上郡
箱根町,143821,足柄下郡
真鶴町,143839,足柄下郡
湯河原町,143847,足柄下郡
愛川町,144011,愛甲郡
清川村,144029,愛甲郡
聖籠町,153079,北蒲原郡
弥彦村,153427,西蒲原郡
田上町,153613,南蒲原郡
阿賀町,153851,東蒲原郡
出雲崎町,154059,三島郡
湯沢町,154610,南魚沼郡
